TransactionID;CustomerID;Date;ProductID;Price;Qty;TotalAmount;StoreID
TR51256;433;04/01/2022;P9;10000;1;10000;4
TR57427;157;04/01/2022;P5;4200;3;12600;5
TR64821;117;04/01/2022;P3;7500;1;7500;2
TR68280;36;04/01/2022;P8;16000;1;16000;12
TR86686;403;04/01/2022;P5;4200;2;8400;1
TR88044;62;04/01/2022;P5;4200;5;21000;1
TR90452;440;04/01/2022;P2;3200;5;16000;11
TR98969;355;04/01/2022;P8;16000;1;16000;4
TR10602;22;05/01/2022;P5;4200;3;12600;11
TR24114;182;05/01/2022;P8;16000;1;16000;4
TR35280;167;05/01/2022;P9;10000;1;10000;2
TR36079;297;05/01/2022;P5;4200;4;16800;11
TR43714;416;05/01/2022;P7;9400;2;18800;13
TR46041;7;05/01/2022;P9;10000;5;50000;8
TR60242;304;05/01/2022;P4;12000;1;12000;13
TR61100;278;05/01/2022;P8;16000;2;32000;2
TR61437;123;05/01/2022;P1;8800;4;35200;6
TR84132;22;05/01/2022;P9;10000;7;70000;14
TR11638;67;06/01/2022;P2;3200;5;16000;12
TR20374;282;06/01/2022;P2;3200;5;16000;3
TR23183;84;06/01/2022;P4;12000;4;48000;9
TR24126;30;06/01/2022;P2;3200;3;9600;3
TR32850;306;06/01/2022;P2;3200;3;9600;6
TR40523;176;06/01/2022;P3;7500;4;30000;2
TR41572;366;06/01/2022;P6;18000;3;54000;3
TR45142;438;06/01/2022;P10;15000;4;60000;10
TR73860;71;06/01/2022;P4;12000;4;48000;1
TR74469;340;06/01/2022;P5;4200;4;16800;4
TR77963;116;06/01/2022;P3;7500;2;15000;7
TR81478;20;06/01/2022;P5;4200;4;16800;8
TR83042;102;06/01/2022;P2;3200;6;19200;10
TR87914;161;06/01/2022;P5;4200;4;16800;9
TR92298;266;06/01/2022;P2;3200;6;19200;2
TR95272;84;06/01/2022;P7;9400;3;28200;8
TR96723;240;06/01/2022;P5;4200;4;16800;14
TR97562;264;06/01/2022;P5;4200;3;12600;14
TR22660;43;07/01/2022;P5;4200;3;12600;13
TR23169;189;07/01/2022;P1;8800;7;61600;7
TR28506;230;07/01/2022;P9;10000;3;30000;12
TR31932;70;07/01/2022;P9;10000;4;40000;7
TR38873;311;07/01/2022;P2;3200;6;19200;5
TR43744;233;07/01/2022;P2;3200;6;19200;8
TR60853;74;07/01/2022;P2;3200;3;9600;6
TR73336;399;07/01/2022;P8;16000;3;48000;10
TR74427;43;07/01/2022;P8;16000;2;32000;3
TR23772;156;08/01/2022;P10;15000;1;15000;1
TR36287;157;08/01/2022;P7;9400;2;18800;2
TR40790;134;08/01/2022;P7;9400;4;37600;8
TR4331;335;08/01/2022;P3;7500;3;22500;12
TR43444;240;08/01/2022;P4;12000;5;60000;2
TR55617;9;08/01/2022;P7;9400;5;47000;9
TR57273;344;08/01/2022;P4;12000;1;12000;10
TR648;164;08/01/2022;P5;4200;3;12600;5
TR65337;12;08/01/2022;P5;4200;3;12600;3
TR6602;211;08/01/2022;P8;16000;2;32000;5
TR67501;85;08/01/2022;P4;12000;3;36000;13
TR70157;415;08/01/2022;P8;16000;2;32000;4
TR84962;55;08/01/2022;P3;7500;5;37500;7
TR89167;69;08/01/2022;P1;8800;5;44000;10
TR90471;162;08/01/2022;P3;7500;3;22500;3
TR14091;307;09/01/2022;P1;8800;5;44000;11
TR28270;140;09/01/2022;P2;3200;7;22400;3
TR48974;170;09/01/2022;P10;15000;1;15000;9
TR52493;354;09/01/2022;P8;16000;1;16000;11
TR52613;135;09/01/2022;P5;4200;3;12600;9
TR53447;137;09/01/2022;P2;3200;4;12800;5
TR5513;62;09/01/2022;P4;12000;4;48000;2
TR76965;241;09/01/2022;P1;8800;8;70400;3
TR80326;269;09/01/2022;P8;16000;1;16000;2
TR858;340;09/01/2022;P8;16000;2;32000;14
TR8878;415;09/01/2022;P5;4200;3;12600;9
TR89449;178;09/01/2022;P5;4200;2;8400;11
TR91332;385;09/01/2022;P9;10000;1;10000;10
TR91669;241;09/01/2022;P5;4200;5;21000;2
TR3291;13;10/01/2022;P4;12000;5;60000;14
TR45059;17;10/01/2022;P1;8800;6;52800;9
TR47932;122;10/01/2022;P7;9400;3;28200;7
TR57616;446;10/01/2022;P1;8800;7;61600;2
TR59952;321;10/01/2022;P4;12000;5;60000;14
TR6445;181;10/01/2022;P3;7500;4;30000;12
TR69307;23;10/01/2022;P8;16000;1;16000;1
TR69902;108;10/01/2022;P7;9400;2;18800;9
TR7250;49;10/01/2022;P1;8800;7;61600;11
TR77811;329;10/01/2022;P10;15000;2;30000;4
TR80374;223;10/01/2022;P8;16000;3;48000;10
TR82224;246;10/01/2022;P2;3200;3;9600;12
TR8236;249;10/01/2022;P2;3200;6;19200;7
TR8369;64;10/01/2022;P3;7500;1;7500;4
TR86436;26;10/01/2022;P10;15000;1;15000;14
TR88217;442;10/01/2022;P9;10000;1;10000;8
TR95284;229;10/01/2022;P2;3200;3;9600;2
TR18566;8;11/01/2022;P3;7500;3;22500;8
TR23232;168;11/01/2022;P2;3200;6;19200;1
TR36166;256;11/01/2022;P10;15000;5;75000;12
TR36685;196;11/01/2022;P2;3200;6;19200;2
TR40960;394;11/01/2022;P6;18000;1;18000;4
TR47732;329;11/01/2022;P2;3200;6;19200;4
TR57918;72;11/01/2022;P4;12000;5;60000;6
TR59286;278;11/01/2022;P7;9400;6;56400;8
TR63021;393;11/01/2022;P8;16000;1;16000;12
TR64748;232;11/01/2022;P5;4200;4;16800;9
TR6627;339;11/01/2022;P9;10000;6;60000;10
TR71791;295;11/01/2022;P7;9400;5;47000;3
TR75052;151;11/01/2022;P3;7500;1;7500;2
TR76046;16;11/01/2022;P8;16000;2;32000;1
TR84499;312;11/01/2022;P3;7500;3;22500;2
TR85582;145;11/01/2022;P5;4200;4;16800;14
TR93692;244;11/01/2022;P5;4200;5;21000;10
TR94450;213;11/01/2022;P3;7500;6;45000;4
TR24515;347;12/01/2022;P10;15000;2;30000;7
TR24817;287;12/01/2022;P3;7500;1;7500;8
TR25833;135;12/01/2022;P2;3200;4;12800;5
TR28633;201;12/01/2022;P9;10000;6;60000;2
TR39671;52;12/01/2022;P10;15000;2;30000;7
TR4401;342;12/01/2022;P4;12000;5;60000;3
TR49649;154;12/01/2022;P10;15000;1;15000;10
TR69772;112;12/01/2022;P8;16000;1;16000;5
TR76028;301;12/01/2022;P1;8800;8;70400;4
TR9420;28;12/01/2022;P8;16000;3;48000;9
TR94326;167;12/01/2022;P9;10000;2;20000;13
TR17988;112;13/01/2022;P6;18000;1;18000;2
TR23621;156;13/01/2022;P7;9400;2;18800;6
TR31421;427;13/01/2022;P6;18000;3;54000;2
TR33225;286;13/01/2022;P1;8800;3;26400;4
TR37826;149;13/01/2022;P7;9400;6;56400;6
TR48412;275;13/01/2022;P4;12000;2;24000;3
TR61271;442;13/01/2022;P1;8800;3;26400;12
TR75546;34;13/01/2022;P5;4200;4;16800;6
TR83152;420;13/01/2022;P10;15000;1;15000;10
TR97807;324;13/01/2022;P6;18000;3;54000;12
TR16701;426;14/01/2022;P4;12000;1;12000;14
TR19443;295;14/01/2022;P9;10000;6;60000;2
TR22474;231;14/01/2022;P3;7500;2;15000;8
TR43117;267;14/01/2022;P10;15000;4;60000;1
TR63072;210;14/01/2022;P7;9400;5;47000;3
TR68172;131;14/01/2022;P5;4200;5;21000;14
TR82815;206;14/01/2022;P7;9400;3;28200;9
TR88153;303;14/01/2022;P5;4200;3;12600;1
TR94606;329;14/01/2022;P10;15000;2;30000;13
TR11326;433;15/01/2022;P9;10000;2;20000;11
TR13287;2;15/01/2022;P5;4200;2;8400;9
TR14344;300;15/01/2022;P7;9400;2;18800;4
TR1445;171;15/01/2022;P5;4200;3;12600;13
TR16248;130;15/01/2022;P2;3200;7;22400;10
TR21056;62;15/01/2022;P8;16000;3;48000;5
TR30914;241;15/01/2022;P3;7500;5;37500;2
TR32340;121;15/01/2022;P5;4200;3;12600;4
TR33508;234;15/01/2022;P4;12000;5;60000;8
TR34660;85;15/01/2022;P10;15000;5;75000;2
TR37177;93;15/01/2022;P5;4200;3;12600;8
TR37379;48;15/01/2022;P10;15000;5;75000;2
TR38169;444;15/01/2022;P4;12000;1;12000;9
TR41344;306;15/01/2022;P8;16000;2;32000;1
TR44149;197;15/01/2022;P4;12000;2;24000;8
TR54663;361;15/01/2022;P1;8800;8;70400;1
TR65307;443;15/01/2022;P5;4200;4;16800;4
TR71470;217;15/01/2022;P10;15000;5;75000;14
TR71650;142;15/01/2022;P5;4200;5;21000;7
TR76485;434;15/01/2022;P9;10000;3;30000;5
TR85027;216;15/01/2022;P2;3200;6;19200;1
TR8647;378;15/01/2022;P1;8800;9;79200;9
TR88822;59;15/01/2022;P7;9400;3;28200;1
TR96420;351;15/01/2022;P9;10000;5;50000;8
TR98224;40;15/01/2022;P6;18000;4;72000;10
TR1576;138;16/01/2022;P1;8800;2;17600;7
TR16100;184;16/01/2022;P9;10000;5;50000;11
TR17745;150;16/01/2022;P2;3200;5;16000;2
TR19359;105;16/01/2022;P10;15000;5;75000;13
TR40245;355;16/01/2022;P6;18000;3;54000;12
TR4066;342;16/01/2022;P10;15000;4;60000;10
TR44922;209;16/01/2022;P10;15000;1;15000;1
TR52563;278;16/01/2022;P8;16000;3;48000;3
TR66649;299;16/01/2022;P8;16000;3;48000;1
TR88920;447;16/01/2022;P8;16000;1;16000;4
TR95280;423;16/01/2022;P10;15000;1;15000;10
TR12572;264;17/01/2022;P1;8800;8;70400;1
TR16416;162;17/01/2022;P8;16000;2;32000;11
TR19683;446;17/01/2022;P10;15000;5;75000;13
TR28079;217;17/01/2022;P5;4200;3;12600;11
TR28209;447;17/01/2022;P3;7500;5;37500;9
TR2841;16;17/01/2022;P7;9400;6;56400;2
TR28854;136;17/01/2022;P9;10000;4;40000;8
TR28928;110;17/01/2022;P10;15000;5;75000;4
TR3941;177;17/01/2022;P7;9400;2;18800;7
TR55188;398;17/01/2022;P5;4200;5;21000;6
TR67971;177;17/01/2022;P2;3200;5;16000;2
TR81233;71;17/01/2022;P3;7500;6;45000;13
TR84034;439;17/01/2022;P5;4200;5;21000;8
TR8508;401;17/01/2022;P5;4200;4;16800;14
TR88404;296;17/01/2022;P5;4200;5;21000;3
TR91007;37;17/01/2022;P10;15000;5;75000;2
TR98921;187;17/01/2022;P8;16000;2;32000;9
TR18620;306;18/01/2022;P2;3200;4;12800;1
TR3743;83;18/01/2022;P3;7500;4;30000;13
TR40659;368;18/01/2022;P3;7500;6;45000;6
TR49285;240;18/01/2022;P3;7500;1;7500;11
TR52721;356;18/01/2022;P8;16000;3;48000;12
TR53728;120;18/01/2022;P5;4200;3;12600;7
TR60985;404;18/01/2022;P5;4200;2;8400;2
TR71324;225;18/01/2022;P3;7500;2;15000;7
TR75701;378;18/01/2022;P8;16000;1;16000;11
TR7896;303;18/01/2022;P7;9400;5;47000;6
TR82047;92;18/01/2022;P2;3200;4;12800;5
TR89703;81;18/01/2022;P8;16000;2;32000;4
TR20664;130;19/01/2022;P6;18000;3;54000;8
TR2323;115;19/01/2022;P3;7500;4;30000;11
TR24906;23;19/01/2022;P1;8800;2;17600;9
TR29591;203;19/01/2022;P4;12000;4;48000;5
TR3330;318;19/01/2022;P10;15000;1;15000;2
TR3414;56;19/01/2022;P3;7500;2;15000;13
TR38717;45;19/01/2022;P3;7500;3;22500;3
TR53185;404;19/01/2022;P4;12000;3;36000;1
TR75889;154;19/01/2022;P3;7500;3;22500;12
TR76104;6;19/01/2022;P7;9400;6;56400;3
TR78475;397;19/01/2022;P10;15000;4;60000;6
TR80853;351;19/01/2022;P7;9400;2;18800;11
TR87436;151;19/01/2022;P1;8800;6;52800;10
TR89069;107;19/01/2022;P9;10000;4;40000;7
TR97235;413;19/01/2022;P5;4200;2;8400;11
TR19590;258;20/01/2022;P6;18000;2;36000;12
TR20045;243;20/01/2022;P3;7500;1;7500;12
TR24538;116;20/01/2022;P10;15000;1;15000;3
TR31616;416;20/01/2022;P9;10000;5;50000;2
TR33794;169;20/01/2022;P9;10000;6;60000;12
TR38395;386;20/01/2022;P8;16000;1;16000;7
TR60760;359;20/01/2022;P5;4200;3;12600;3
TR63307;443;20/01/2022;P7;9400;4;37600;13
TR63588;326;20/01/2022;P4;12000;3;36000;6
TR72168;130;20/01/2022;P5;4200;3;12600;9
TR82517;297;20/01/2022;P5;4200;2;8400;5
TR88378;44;20/01/2022;P7;9400;6;56400;14
TR92856;79;20/01/2022;P7;9400;3;28200;10
TR14385;66;21/01/2022;P6;18000;3;54000;9
TR1807;197;21/01/2022;P3;7500;4;30000;11
TR24740;106;21/01/2022;P2;3200;3;9600;5
TR26433;209;21/01/2022;P7;9400;3;28200;4
TR28011;367;21/01/2022;P9;10000;5;50000;5
TR31493;131;21/01/2022;P1;8800;8;70400;12
TR32113;171;21/01/2022;P3;7500;6;45000;2
TR32730;243;21/01/2022;P6;18000;1;18000;9
TR3316;435;21/01/2022;P7;9400;5;47000;13
TR34731;281;21/01/2022;P3;7500;5;37500;4
TR47402;19;21/01/2022;P9;10000;5;50000;3
TR56276;88;21/01/2022;P10;15000;2;30000;1
TR93101;267;21/01/2022;P1;8800;3;26400;12
TR94279;119;21/01/2022;P5;4200;4;16800;1
TR99024;289;21/01/2022;P6;18000;3;54000;1
TR22459;362;22/01/2022;P10;15000;5;75000;12
TR25854;176;22/01/2022;P8;16000;2;32000;8
TR4315;181;22/01/2022;P5;4200;5;21000;8
TR47702;359;22/01/2022;P4;12000;5;60000;11
TR56832;429;22/01/2022;P4;12000;5;60000;2
TR67395;328;22/01/2022;P8;16000;3;48000;11
TR81633;376;22/01/2022;P8;16000;2;32000;5
TR9042;320;22/01/2022;P5;4200;3;12600;7
TR95963;73;22/01/2022;P3;7500;2;15000;3
TR11023;395;23/01/2022;P3;7500;5;37500;3
TR16773;14;23/01/2022;P6;18000;1;18000;2
TR23559;62;23/01/2022;P5;4200;5;21000;10
TR40337;168;23/01/2022;P3;7500;2;15000;12
TR5111;294;23/01/2022;P5;4200;5;21000;13
TR68999;349;23/01/2022;P1;8800;3;26400;13
TR72014;295;23/01/2022;P5;4200;5;21000;6
TR82501;335;23/01/2022;P5;4200;4;16800;13
TR8408;26;23/01/2022;P10;15000;1;15000;2
TR91120;114;23/01/2022;P3;7500;6;45000;12
TR13528;196;24/01/2022;P4;12000;5;60000;10
TR14110;356;24/01/2022;P6;18000;2;36000;9
TR26197;187;24/01/2022;P10;15000;4;60000;2
TR27545;34;24/01/2022;P6;18000;4;72000;7
TR29618;171;24/01/2022;P10;15000;4;60000;9
TR3218;91;24/01/2022;P1;8800;10;88000;10
TR34744;76;24/01/2022;P2;3200;3;9600;8
TR37162;169;24/01/2022;P8;16000;2;32000;5
TR48869;257;24/01/2022;P1;8800;6;52800;5
TR62843;123;24/01/2022;P2;3200;5;16000;3
TR65973;422;24/01/2022;P2;3200;5;16000;11
TR69288;160;24/01/2022;P2;3200;3;9600;4
TR80016;183;24/01/2022;P3;7500;2;15000;10
TR1186;423;25/01/2022;P4;12000;5;60000;13
TR14148;418;25/01/2022;P5;4200;5;21000;1
TR24554;444;25/01/2022;P10;15000;5;75000;14
TR24979;276;25/01/2022;P5;4200;2;8400;1
TR32972;372;25/01/2022;P5;4200;2;8400;11
TR38205;314;25/01/2022;P8;16000;3;48000;1
TR496;3;25/01/2022;P1;8800;2;17600;8
TR53992;96;25/01/2022;P2;3200;5;16000;4
TR5572;344;25/01/2022;P2;3200;4;12800;1
TR57565;180;25/01/2022;P5;4200;4;16800;12
TR600;97;25/01/2022;P4;12000;1;12000;7
TR6094;104;25/01/2022;P1;8800;4;35200;3
TR67707;49;25/01/2022;P10;15000;3;45000;13
TR74093;298;25/01/2022;P3;7500;3;22500;2
TR74832;57;25/01/2022;P9;10000;2;20000;4
TR94774;222;25/01/2022;P3;7500;6;45000;3
TR99456;403;25/01/2022;P5;4200;4;16800;3
TR18017;369;26/01/2022;P10;15000;3;45000;8
TR21020;10;26/01/2022;P8;16000;3;48000;4
TR26976;89;26/01/2022;P3;7500;2;15000;7
TR291;20;26/01/2022;P1;8800;3;26400;10
TR33309;172;26/01/2022;P10;15000;1;15000;6
TR38496;171;26/01/2022;P1;8800;7;61600;3
TR69292;101;26/01/2022;P4;12000;2;24000;4
TR71806;88;26/01/2022;P10;15000;3;45000;2
TR73761;167;26/01/2022;P5;4200;5;21000;1
TR83851;398;26/01/2022;P10;15000;1;15000;11
TR88485;24;26/01/2022;P7;9400;4;37600;10
TR8926;16;26/01/2022;P3;7500;6;45000;5
TR95049;72;26/01/2022;P7;9400;3;28200;7
TR96226;87;26/01/2022;P8;16000;3;48000;9
TR96565;407;26/01/2022;P2;3200;3;9600;4
TR1152;149;27/01/2022;P3;7500;6;45000;9
TR20460;277;27/01/2022;P8;16000;3;48000;14
TR21521;219;27/01/2022;P10;15000;3;45000;12
TR22096;152;27/01/2022;P2;3200;7;22400;12
TR39689;287;27/01/2022;P10;15000;1;15000;8
TR44341;133;27/01/2022;P4;12000;2;24000;14
TR46384;229;27/01/2022;P6;18000;1;18000;2
TR47250;205;27/01/2022;P7;9400;6;56400;4
TR4769;176;27/01/2022;P8;16000;3;48000;4
TR48479;252;27/01/2022;P7;9400;2;18800;1
TR49703;215;27/01/2022;P4;12000;2;24000;14
TR53294;127;27/01/2022;P8;16000;3;48000;4
TR59261;342;27/01/2022;P10;15000;3;45000;6
TR66991;312;27/01/2022;P8;16000;2;32000;4
TR71099;294;27/01/2022;P5;4200;3;12600;5
TR7372;171;27/01/2022;P2;3200;6;19200;9
TR84119;307;27/01/2022;P5;4200;3;12600;14
TR87564;19;27/01/2022;P9;10000;3;30000;14
TR87745;245;27/01/2022;P5;4200;4;16800;1
TR91130;288;27/01/2022;P1;8800;3;26400;13
TR11942;44;28/01/2022;P4;12000;3;36000;8
TR14660;40;28/01/2022;P3;7500;4;30000;5
TR18382;23;28/01/2022;P2;3200;3;9600;10
TR226;281;28/01/2022;P8;16000;2;32000;3
TR26050;88;28/01/2022;P7;9400;3;28200;10
TR2737;417;28/01/2022;P2;3200;5;16000;10
TR33859;367;28/01/2022;P5;4200;4;16800;7
TR43048;202;28/01/2022;P1;8800;2;17600;9
TR52295;361;28/01/2022;P4;12000;2;24000;8
TR55903;214;28/01/2022;P5;4200;3;12600;4
TR58807;20;28/01/2022;P9;10000;4;40000;11
TR66811;79;28/01/2022;P2;3200;3;9600;13
TR69931;384;28/01/2022;P8;16000;2;32000;12
TR98511;410;28/01/2022;P8;16000;3;48000;2
TR1232;342;29/01/2022;P5;4200;5;21000;11
TR2820;410;29/01/2022;P9;10000;6;60000;6
TR29955;445;29/01/2022;P8;16000;2;32000;14
TR36472;187;29/01/2022;P6;18000;1;18000;2
TR41807;263;29/01/2022;P7;9400;3;28200;5
TR44836;99;29/01/2022;P7;9400;4;37600;6
TR53477;51;29/01/2022;P5;4200;4;16800;10
TR57679;226;29/01/2022;P4;12000;4;48000;5
TR5817;256;29/01/2022;P1;8800;2;17600;11
TR58339;115;29/01/2022;P7;9400;4;37600;7
TR23654;42;30/01/2022;P10;15000;3;45000;8
TR28269;131;30/01/2022;P9;10000;5;50000;14
TR3314;403;30/01/2022;P3;7500;4;30000;4
TR42503;30;30/01/2022;P7;9400;3;28200;5
TR45877;310;30/01/2022;P4;12000;3;36000;2
TR60792;14;30/01/2022;P8;16000;1;16000;6
TR64013;10;30/01/2022;P9;10000;4;40000;4
TR64560;195;30/01/2022;P4;12000;1;12000;12
TR64899;272;30/01/2022;P3;7500;3;22500;6
TR76522;206;30/01/2022;P5;4200;4;16800;6
TR81463;416;30/01/2022;P9;10000;5;50000;3
TR82591;308;30/01/2022;P9;10000;7;70000;11
TR95882;195;30/01/2022;P8;16000;2;32000;10
TR98748;66;30/01/2022;P5;4200;4;16800;12
TR14763;135;31/01/2022;P4;12000;4;48000;5
TR22391;183;31/01/2022;P7;9400;4;37600;1
TR3027;12;31/01/2022;P10;15000;4;60000;8
TR31748;394;31/01/2022;P10;15000;3;45000;14
TR4462;152;31/01/2022;P10;15000;5;75000;4
TR69103;27;31/01/2022;P4;12000;4;48000;7
TR6940;37;31/01/2022;P3;7500;5;37500;14
TR76017;312;31/01/2022;P2;3200;5;16000;3
TR77297;417;31/01/2022;P9;10000;2;20000;3
TR77509;444;31/01/2022;P5;4200;3;12600;4
TR78366;168;31/01/2022;P7;9400;6;56400;3
TR79840;133;31/01/2022;P7;9400;5;47000;6
TR83213;89;31/01/2022;P5;4200;4;16800;11
TR83468;360;31/01/2022;P2;3200;3;9600;11
TR87759;373;31/01/2022;P5;4200;2;8400;11
TR33585;245;01/02/2022;P2;3200;5;16000;11
TR39283;293;01/02/2022;P2;3200;5;16000;8
TR40082;293;01/02/2022;P3;7500;3;22500;7
TR50178;280;01/02/2022;P10;15000;2;30000;5
TR51488;61;01/02/2022;P1;8800;9;79200;10
TR51730;3;01/02/2022;P5;4200;4;16800;5
TR52040;289;01/02/2022;P5;4200;4;16800;10
TR57306;16;01/02/2022;P5;4200;2;8400;13
TR96028;141;01/02/2022;P7;9400;6;56400;13
TR97521;373;01/02/2022;P5;4200;4;16800;2
TR97914;276;01/02/2022;P5;4200;2;8400;6
TR99181;355;01/02/2022;P3;7500;4;30000;3
TR19203;384;02/02/2022;P7;9400;4;37600;1
TR24953;277;02/02/2022;P10;15000;2;30000;10
TR35143;338;02/02/2022;P8;16000;2;32000;9
TR39794;2;02/02/2022;P3;7500;5;37500;2
TR54309;70;02/02/2022;P2;3200;6;19200;4
TR58702;330;02/02/2022;P5;4200;4;16800;1
TR60184;175;02/02/2022;P1;8800;7;61600;2
TR74940;37;02/02/2022;P9;10000;7;70000;13
TR80011;79;02/02/2022;P10;15000;1;15000;8
TR85957;112;02/02/2022;P1;8800;8;70400;7
TR86926;107;02/02/2022;P9;10000;5;50000;9
TR90300;57;02/02/2022;P3;7500;3;22500;12
TR21207;190;03/02/2022;P5;4200;3;12600;13
TR23935;131;03/02/2022;P5;4200;2;8400;5
TR32248;63;03/02/2022;P3;7500;1;7500;8
TR40265;201;03/02/2022;P10;15000;3;45000;2
TR40627;101;03/02/2022;P9;10000;7;70000;12
TR59571;376;03/02/2022;P5;4200;5;21000;11
TR61442;268;03/02/2022;P4;12000;3;36000;1
TR67712;405;03/02/2022;P1;8800;4;35200;6
TR72053;28;03/02/2022;P3;7500;6;45000;12
TR74533;257;03/02/2022;P3;7500;2;15000;2
TR80734;147;03/02/2022;P5;4200;5;21000;13
TR96876;381;03/02/2022;P2;3200;4;12800;11
TR97709;189;03/02/2022;P3;7500;3;22500;10
TR97763;406;03/02/2022;P1;8800;10;88000;3
TR16875;218;04/02/2022;P2;3200;5;16000;1
TR2859;226;04/02/2022;P1;8800;6;52800;8
TR29286;306;04/02/2022;P6;18000;2;36000;5
TR37417;53;04/02/2022;P9;10000;5;50000;8
TR42721;128;04/02/2022;P4;12000;1;12000;14
TR5327;128;04/02/2022;P8;16000;2;32000;13
TR56306;395;04/02/2022;P5;4200;4;16800;3
TR57094;289;04/02/2022;P9;10000;2;20000;14
TR65344;54;04/02/2022;P3;7500;3;22500;1
TR65958;54;04/02/2022;P1;8800;3;26400;2
TR70798;428;04/02/2022;P3;7500;4;30000;12
TR72427;66;04/02/2022;P10;15000;4;60000;13
TR74375;220;04/02/2022;P5;4200;5;21000;12
TR78838;205;04/02/2022;P2;3200;5;16000;12
TR88072;60;04/02/2022;P8;16000;2;32000;13
TR96454;379;04/02/2022;P2;3200;5;16000;8
TR96549;252;04/02/2022;P5;4200;4;16800;3
TR10270;215;05/02/2022;P3;7500;2;15000;14
TR13539;360;05/02/2022;P6;18000;2;36000;6
TR32416;263;05/02/2022;P5;4200;3;12600;12
TR3677;258;05/02/2022;P4;12000;2;24000;6
TR54480;417;05/02/2022;P1;8800;8;70400;4
TR60591;363;05/02/2022;P4;12000;4;48000;12
TR64239;43;05/02/2022;P9;10000;6;60000;8
TR66377;156;05/02/2022;P5;4200;4;16800;8
TR74879;28;05/02/2022;P5;4200;4;16800;4
TR80509;39;05/02/2022;P2;3200;5;16000;4
TR94902;127;05/02/2022;P10;15000;2;30000;9
TR98495;347;05/02/2022;P6;18000;3;54000;2
TR99046;122;05/02/2022;P8;16000;2;32000;2
TR17748;92;06/02/2022;P6;18000;3;54000;1
TR21924;214;06/02/2022;P7;9400;5;47000;4
TR23421;399;06/02/2022;P9;10000;2;20000;7
TR28621;63;06/02/2022;P8;16000;3;48000;9
TR34922;380;06/02/2022;P8;16000;1;16000;8
TR39097;400;06/02/2022;P1;8800;5;44000;10
